year,A1,A2,A3
,label A1,label A2,label A3
1987,25,2876,165
1988,20,2971,185
1989,10,3013,94
1990,6,3081,82
1991,9,2928,122
1992,17,3122,120
1993,14,3043,148
1994,7,3054,99
1995,16,3188,148
1996,2,3001,70
1997,7,2811,135
1998,12,2916,100
1999,5,3270,87
2000,3,3166,99
2001,27,2977,178
2002,3,3135,79
2003,6,2909,90
2004,5,2988,83
2005,25,2854,168
2006,16,2868,171
2007,20,3174,157
2008,17,2867,171
2009,12,3097,127
2010,8,3010,94
2011,6,3125,69
2012,18,3010,158
2013,8,3234,121
2014,13,2928,126
2015,14,2827,138
2016,33,2892,244
2016
2017,22,3118,182
2018,32,2935,269
2019,25,2780,202
2020,31,2959,253
2021,41,2896,344
2022,18,2882,152
2023,18,2702,187
2024,29,3069,262
2025,31,2976,242
2026,26,2737,222
2027,17,2482,156
2028,37,2824,266
2029,8,2495,161
2030,25,2895,237
2031,34,2616,234
2032,32,2807,254
2033,30,2857,221
2034,34,2919,262
2035,58,2801,345
2036,49,2870,290
2037,44,2497,282
2038,35,2756,243
2039,32,2826,246
2040,34,2677,238
2041,14,2739,156
2042,17,2727,183
2043,53,2585,325
2044,38,2738,294
2045,19,2929,189
2046,17,3034,152

min,,2000
max,,3600
steps,,9
decimal

min
max
