year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,159,341,175,346
1988,256,227,210,232
1989,180,351,366,144
1990,37,154,123,299
1991,176,424,86,357
1992,136,143,242,424
1993,31,121,300,370
1994,121,195,246,251
1995,365,340,481,293
1996,119,439,355,389
1997,150,208,164,358
1998,58,316,416,482
1999,200,508,325,393
2000,196,274,353,735
2001,580,265,558,175
2002,154,431,408,529
2003,153,230,198,523
2004,295,538,192,546
2005,94,389,457,335
2006,331,353,339,188
2007,396,179,424,239
2008,292,357,291,529
2009,395,258,238,732
2010,304,407,611,612
2011,210,281,225,353
2012,78,316,281,474
2013,437,283,238,349
2014,507,249,441,431
2015,204,113,279,155
2016,435,309,92,350
