year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,54,20,-185,255
1988,157,-77,-139,154
1989,89,68,68,74
1990,-75,-171,-242,200
1991,98,149,-232,289
1992,45,-187,-118,341
1993,-64,-215,-40,295
1994,28,-111,-90,192
1995,294,63,197,228
1996,55,143,95,336
1997,69,-87,-123,301
1998,-38,16,117,428
1999,96,189,-57,285
2000,96,-102,-35,644
2001,464,-83,159,48
2002,35,79,38,416
2003,15,-168,-235,404
2004,178,206,-219,430
2005,-29,26,88,226
2006,208,7,-57,73
2007,277,-206,22,113
2008,179,19,-122,413
2009,269,-104,-189,612
2010,193,81,228,500
2011,76,-105,-185,232
2012,-70,-33,-163,364
2013,332,-48,-185,237
2014,418,-39,181,353
2015,115,-188,-52,88
2016,361,40,-240,282
