year,F1,F3,M4
,label F1,label F3,label M4
1987,84,135,3
1988,70,139,0
1989,90,144,2
1990,82,138,3
1991,61,135,4
1992,76,135,4
1993,92,144,3
1994,82,138,0
1995,87,142,3
1996,73,134,4
1997,63,139,3
1998,86,143,1
1999,78,138,4
2000,69,145,1
2001,48,137,3
2002,92,139,4
2003,75,134,2
2004,79,139,3
2005,72,136,4
2006,72,133,1
2007,85,144,3
2008,62,144,2
2009,92,145,3
2010,82,147,5
2011,73,134,1
2012,73,135,1
2013,98,141,3
2014,78,140,2
2015,75,136,5
2016,65,130,3
2016
2017,93,145,5
2018,91,137,3
2019,69,133,4
2020,90,144,5
2021,92,143,5
2022,81,140,3
2023,69,141,2
2024,93,153,6
2025,84,144,3
2026,81,138,2
2027,75,129,2
2028,83,138,3
2029,67,124,3
2030,77,140,3
2031,67,134,2
2032,63,137,6
2033,80,139,3
2034,75,141,3
2035,76,138,4
2036,73,137,2
2037,64,127,6
2038,79,131,1
2039,72,143,5
2040,84,137,2
2041,68,133,6
2042,67,134,4
2043,73,125,1
2044,68,140,1
2045,78,137,5
2046,79,141,4

min,,80,0
max,,170,8
steps,,10,9
decimal

min
max
