year,annual-estival-days
1987,84
1988,74
1989,95
1990,96
1991,94
1992,76
1993,71
1994,89
1995,82
1996,74
1997,102
1998,87
1999,98
2000,89
2001,94
2002,77
2003,122
2004,104
2005,95
2006,102
2007,87
2008,81
2009,116
2010,98
2011,102
2012,98
2013,79
2014,94
2015,97
2016,101
