year,annual-hydric-deficit
1987,-91
1988,-12
1989,-245
1990,-125
1991,-155
1992,-103
1993,-66
1994,64
1995,24
1996,-39
1997,59
1998,268
1999,256
2000,328
2001,112
2002,290
2003,71
2004,221
2005,-23
2006,254
2007,166
2008,279
2009,218
2010,232
2011,226
2012,307
2013,21
2014,233
2015,198
2016,51
