year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,1.0,13.4,19.4,7.5
1988,5.3,14.8,18.5,7.2
1989,5.8,14.3,18.9,6.6
1990,7.0,14.4,18.5,7.1
1991,4.1,12.7,20.5,5.8
1992,4.5,15.1,20.1,7.0
1993,4.4,15.9,17.9,6.1
1994,6.2,14.6,19.9,8.8
1995,5.6,14.1,18.9,7.1
1996,2.3,14.5,17.2,6.4
1997,4.7,14.4,19.3,7.0
1998,5.9,15.6,18.5,6.2
1999,5.0,15.2,19.9,6.7
2000,5.9,16.1,18.6,9.3
2001,6.1,14.5,18.8,7.1
2002,6.0,15.2,18.1,8.4
2003,4.0,17.2,21.1,6.7
2004,4.5,14.7,19.3,7.0
2005,4.1,15.9,18.9,7.0
2006,2.1,15.4,20.4,9.4
2007,6.6,16.5,17.4,5.8
2008,5.5,15.0,17.6,6.5
2009,2.4,16.0,19.2,7.6
2010,2.9,14.1,18.3,5.4
2011,5.1,16.2,18.6,7.8
2012,4.0,15.1,18.7,7.5
2013,2.3,13.7,19.2,7.6
2014,6.7,15.4,18.2,9.0
2015,4.5,15.1,19.9,9.1
2016,5.5,14.5,19.9,5.9
