year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,99,103,8,102
1988,172,-76,9,175
1989,0,-59,-75,141
1990,0,-136,-147,99
1991,-19,-176,-116,50
1992,91,-60,-169,153
1993,-44,-105,-22,136
1994,-29,-99,-144,1
1995,57,-39,-131,23
1996,-23,-131,-93,142
1997,0,-141,-104,74
1998,-22,-145,-126,13
1999,31,-34,-104,131
2000,-20,-156,-84,48
2001,94,-107,-151,0
2002,-43,-47,-57,139
2003,-45,-255,-290,61
2004,9,-216,-112,163
2005,-33,-148,-112,12
2006,43,-133,-84,38
2007,11,-152,-44,3
2008,-25,-69,-30,51
2009,112,-180,-97,162
2010,32,-89,-35,164
2011,17,-125,-81,84
2012,3,-12,-43,259
2013,14,-39,-165,118
2014,-38,-237,-20,82
2015,2,-194,-186,-2
2016,77,104,-224,32
