year,annual-frozen-days
1987,71
1988,43
1989,62
1990,47
1991,66
1992,42
1993,56
1994,27
1995,53
1996,79
1997,66
1998,60
1999,47
2000,27
2001,59
2002,38
2003,77
2004,63
2005,69
2006,75
2007,52
2008,65
2009,68
2010,79
2011,51
2012,50
2013,72
2014,35
2015,54
2016,56
