year,annual-estival-days
1987,45
1988,48
1989,73
1990,54
1991,72
1992,67
1993,49
1994,65
1995,55
1996,46
1997,67
1998,55
1999,60
2000,61
2001,62
2002,48
2003,105
2004,62
2005,64
2006,71
2007,69
2008,57
2009,62
2010,50
2011,75
2012,67
2013,62
2014,48
2015,68
2016,74

min,16
max,130
steps,9
decimal
