year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,410,908,-790,-730,-29,12.7,4632,89,20.1,34
1988,303,930,-915,-825,-67,12.4,4531,110,21.2,55
1989,397,889,-783,-731,0,12.4,4519,102,21.2,39
1990,255,873,-902,-776,-73,12.1,4431,89,19.8,34
1991,340,912,-914,-762,-75,11.8,4338,91,20.0,49
1992,396,884,-768,-687,-63,11.8,4306,93,18.8,59
1993,390,973,-959,-788,-59,12.6,4616,90,20.3,38
1994,317,1002,-1034,-875,-46,12.5,4569,104,19.8,39
1995,358,848,-770,-713,0,11.8,4311,80,19.5,27
1996,263,932,-1010,-844,-41,12.4,4536,97,20.1,44
1997,355,1019,-1038,-877,-69,12.7,4652,125,20.7,69
1998,384,870,-793,-770,7,12.4,4556,90,20.1,29
1999,302,938,-996,-806,-89,11.8,4321,81,19.1,48
2000,356,965,-951,-836,-63,12.0,4385,90,19.8,43
2001,377,871,-780,-724,-19,12.4,4547,100,20.5,40
2002,317,887,-860,-763,-22,12.0,4383,90,19.9,56
2003,260,909,-934,-856,1,12.6,4596,96,20.5,35
2004,344,842,-797,-697,-67,11.6,4229,78,19.3,57
2005,277,896,-883,-764,-49,12.0,4384,87,20.9,39
2006,332,934,-880,-789,-13,11.9,4390,103,20.0,65
2007,352,924,-864,-731,-75,12.2,4466,92,21.2,73
2008,305,897,-881,-783,-52,11.9,4349,93,19.4,43
2009,372,919,-823,-736,-48,11.9,4363,104,20.6,74
2010,269,941,-984,-856,-111,12.5,4580,118,20.6,58
2011,395,951,-828,-845,17,12.7,4622,110,20.6,40
2012,391,922,-812,-830,24,12.1,4403,99,20.5,58
2013,353,910,-850,-783,-2,12.7,4636,103,21.0,35
2014,432,900,-743,-779,49,11.8,4334,94,19.8,59
2015,302,932,-916,-812,-38,12.3,4492,98,21.4,57
2016,296,936,-920,-839,-27,12.3,4503,113,20.4,51
2016
2017,390,879,-799,-686,-27,13.0,4748,96,20.2,29
2018,309,938,-942,-804,-57,13.5,4912,125,22.1,30
2019,416,924,-794,-716,-25,12.8,4688,106,19.9,26
2020,400,913,-805,-746,-23,12.5,4588,104,22.1,45
2021,376,987,-953,-823,-47,13.6,4957,114,22.2,15
2022,395,968,-871,-818,15,13.7,5006,115,22.6,27
2023,437,951,-873,-744,-103,13.0,4747,110,21.9,32
2024,409,1022,-957,-835,-39,13.0,4776,116,21.8,29
2025,405,1011,-887,-887,41,13.7,5002,126,21.8,43
2026,470,1008,-835,-839,26,12.8,4672,126,22.6,42
2027,460,983,-890,-783,-33,12.9,4693,101,20.8,27
2028,368,954,-876,-784,-29,13.4,4923,123,22.3,35
2029,345,1014,-1014,-889,-91,13.0,4750,118,21.5,42
2030,456,978,-879,-786,4,13.6,4953,109,22.7,30
2031,319,939,-931,-814,-36,13.9,5080,123,21.5,23
2032,337,949,-899,-798,-28,13.2,4815,118,21.3,42
2033,302,986,-1006,-888,-39,14.0,5123,135,22.1,40
2034,464,925,-763,-800,65,12.8,4667,107,21.0,54
2035,382,984,-892,-907,10,13.7,5004,106,23.5,29
2036,253,938,-991,-916,-68,13.6,4994,106,21.2,8
2037,353,915,-877,-773,-41,13.1,4783,100,20.9,25
2038,366,917,-843,-803,-9,13.2,4828,115,20.4,12
2039,388,945,-855,-761,-1,13.8,5053,119,22.6,34
2040,296,977,-961,-826,-56,13.3,4861,114,22.0,32
2041,386,955,-828,-814,-4,12.7,4625,106,21.0,26
2042,303,948,-928,-834,-53,12.9,4705,117,22.0,44
2043,368,996,-936,-824,-72,14.6,5339,125,24.1,9
2044,389,933,-838,-793,-37,12.9,4730,110,20.8,36
2045,326,996,-965,-880,-28,13.9,5061,128,20.9,22
2046,373,921,-818,-733,6,12.8,4677,108,21.4,38

min,0,650,,,,10,3600,20,17
max,2400,1150,,,,17,6300,180,27
steps,9,11,,,,8,10,9,11
decimals
