year,annual-estival-days
1987,100
1988,94
1989,107
1990,96
1991,103
1992,94
1993,73
1994,103
1995,111
1996,92
1997,93
1998,96
1999,101
2000,97
2001,101
2002,95
2003,106
2004,114
2005,122
2006,117
2007,88
2008,89
2009,116
2010,103
2011,120
2012,110
2013,96
2014,98
2015,103
2016,111

min,20
max,180
steps,9
decmals
