year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,172,95,68,122
1988,76,230,40,49
1989,55,128,74,301
1990,37,133,53,108
1991,124,34,28,52
1992,35,111,48,209
1993,20,181,68,162
1994,81,117,32,141
1995,82,43,32,244
1996,155,146,41,154
1997,65,164,138,319
1998,89,160,48,71
1999,60,72,195,147
2000,48,162,55,256
2001,249,52,52,48
2002,80,86,57,235
2003,177,143,71,229
2004,75,89,24,132
2005,26,57,7,187
2006,116,142,71,191
2007,80,175,89,91
2008,79,263,16,119
2009,45,57,38,212
2010,128,90,3,102
2011,94,60,13,89
2012,43,129,36,164
2013,197,108,64,136
2014,149,53,88,141
2015,49,127,48,122
2016,201,108,20,117
