year,A1,A2,A3
,label A1,label A2,label A3
1987,40,2089,315
1988,40,2404,369
1989,39,2307,321
1990,36,2333,281
1991,19,2400,264
1992,23,2391,232
1993,37,2143,307
1994,38,2279,373
1995,24,2391,247
1996,32,2259,292
1997,28,2294,382
1998,33,2228,263
1999,15,2343,200
2000,24,2302,255
2001,50,2328,348
2002,36,2355,299
2003,34,2169,306
2004,28,2475,232
2005,36,2450,332
2006,45,2527,375
2007,42,2403,377
2008,25,2354,266
2009,48,2543,402
2010,47,2387,427
2011,42,2248,369
2012,40,2411,317
2013,47,2204,358
2014,19,2413,240
2015,46,2463,439
2016,41,2390,372
2016
2017,33,2008,293
2018,66,2080,504
2019,36,2106,305
2020,55,2239,437
2021,53,2061,494
2022,66,2040,540
2023,62,2268,484
2024,60,2218,499
2025,84,2218,672
2026,69,2384,526
2027,37,2151,350
2028,65,2168,535
2029,58,2235,471
2030,61,2053,506
2031,70,1938,501
2032,71,2227,513
2033,77,2037,606
2034,40,2262,381
2035,77,2136,615
2036,46,1898,379
2037,47,2003,352
2038,39,2045,355
2039,79,2069,584
2040,61,2154,503
2041,48,2304,418
2042,54,2230,456
2043,89,1883,699
2044,50,2188,407
2045,49,1885,432
2046,57,2281,415

min,,1500
max,,3000
steps,,11
decimals
