year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,45,-297,-421,18
1988,-81,-108,-446,-72
1989,-82,-262,-419,181
1990,-95,-250,-421,5
1991,7,-377,-453,-48
1992,-104,-274,-404,113
1993,-99,-162,-372,70
1994,-46,-270,-426,44
1995,-55,-362,-402,136
1996,32,-223,-392,53
1997,-68,-183,-251,212
1998,-45,-197,-388,-22
1999,-69,-319,-239,52
2000,-83,-193,-380,147
2001,128,-339,-378,-61
2002,-47,-330,-403,123
2003,50,-261,-411,127
2004,-49,-321,-450,18
2005,-109,-386,-502,71
2006,-5,-275,-400,82
2007,-45,-182,-381,-16
2008,-54,-84,-444,16
2009,-99,-353,-429,87
2010,9,-289,-493,-14
2011,-24,-339,-428,-32
2012,-86,-252,-417,65
2013,91,-227,-388,36
2014,24,-347,-344,36
2015,-78,-280,-434,18
2016,88,-239,-428,21
