year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,36,-82,-6,95
1988,81,-172,-74,21
1989,53,-148,-93,32
1990,19,-143,-87,41
1991,69,-102,-144,33
1992,86,-40,173,241
1993,167,-55,36,85
1994,67,-49,-32,122
1995,112,-66,-119,18
1996,8,-22,-119,167
1997,25,-103,-87,86
1998,175,-26,51,153
1999,132,-147,-172,180
2000,67,-23,28,222
2001,82,-41,64,107
2002,109,-183,-180,123
2003,50,-168,-106,98
2004,52,-105,2,60
2005,71,-113,-53,69
2006,46,-121,-148,232
2007,90,-184,21,122
2008,116,-168,-37,193
2009,62,-174,-53,201
2010,120,-160,-45,80
2011,71,-178,-27,117
2012,81,-42,-40,242
2013,42,-127,-81,170
2014,78,-149,-141,225
2015,100,-49,-60,120
2016,116,-37,-34,97
