year,annual-precipitations
1987,448
1988,309
1989,338
1990,366
1991,321
1992,856
1993,625
1994,528
1995,460
1996,509
1997,463
1998,807
1999,511
2000,747
2001,695
2002,410
2003,391
2004,498
2005,480
2006,550
2007,587
2008,608
2009,551
2010,497
2011,510
2012,710
2013,523
2014,548
2015,598
2016,613

min,240
max,1040
steps,11
decimal
