year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,53,95,181,119
1988,100,40,126,44
1989,84,75,125,54
1990,65,94,127,81
1991,93,92,84,53
1992,104,174,330,248
1993,183,124,224,94
1994,83,145,168,132
1995,157,124,108,71
1996,38,158,96,216
1997,77,92,158,136
1998,210,177,234,186
1999,162,75,56,219
2000,107,172,214,254
2001,115,164,267,149
2002,146,45,61,158
2003,83,58,133,118
2004,84,111,212,90
2005,103,102,174,102
2006,74,110,112,254
2007,124,81,233,149
2008,148,76,172,212
2009,87,78,167,219
2010,144,80,170,102
2011,105,76,188,140
2012,117,172,165,255
2013,68,116,146,193
2014,115,81,112,240
2015,136,172,143,147
2016,147,172,163,131
