year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,106,137,278,86
1988,110,162,255,117
1989,148,95,290,113
1990,155,109,170,113
1991,93,92,84,53
1992,104,174,330,248
1993,183,124,224,94
1994,149,117,201,174
1995,153,161,161,109
1996,75,163,188,213
1997,105,110,138,138
1998,182,183,270,138
1999,112,104,143,193
2000,132,168,158,225
2001,125,132,189,120
2002,155,155,182,93
2003,94,170,220,196
2004,141,81,389,196
2005,108,147,253,134
2006,97,163,129,233
2007,104,125,254,145
2008,128,154,241,214
2009,72,94,172,116
2010,101,171,232,97
2011,94,134,321,101
2012,102,199,248,188
2013,72,120,210,221
2014,73,184,161,148
2015,194,191,296,197
2016,111,111,209,113
