year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,89,-86,84,59
1988,92,-84,34,94
1989,122,-179,57,93
1990,120,-146,-43,96
1991,69,-102,-144,33
1992,86,-40,173,241
1993,167,-55,36,85
1994,128,-111,-38,149
1995,123,-70,-53,76
1996,49,-52,-26,184
1997,73,-111,-111,113
1998,156,-24,82,109
1999,88,-114,-55,167
2000,106,-50,-42,195
2001,102,-86,-38,98
2002,128,-95,-56,68
2003,63,-53,-9,169
2004,118,-150,182,175
2005,82,-99,3,100
2006,77,-89,-139,201
2007,75,-128,43,112
2008,98,-77,49,185
2009,47,-151,-62,90
2010,82,-68,-43,70
2011,64,-124,94,64
2012,73,-32,36,160
2013,46,-140,-2,190
2014,33,-44,-79,116
2015,159,-22,92,166
2016,83,-132,4,87
