year,A1,A2,A3
,label A1,label A2,label A3
1987,7,5506,33
1988,8,5388,48
1989,4,5630,35
1990,6,5651,42
1991,2,4964,36
1992,4,5383,36
1993,7,5294,71
1994,8,5306,72
1995,6,5433,49
1996,10,5261,81
1997,4,5156,46
1998,12,5399,70
1999,1,5485,24
2000,2,5698,46
2001,8,5501,58
2002,6,5356,43
2003,8,5071,58
2004,3,5300,29
2005,12,5437,88
2006,5,5170,32
2007,8,5063,52
2008,6,5155,41
2009,17,5411,108
2010,1,5578,12
2011,2,5087,29
2012,1,4988,30
2013,4,5031,46
2014,7,5357,51
2015,12,5646,99
2016,8,5241,68
2016
2017,7,4554,54
2018,1,4480,19
2019,0,4612,15
2020,3,4858,37
2021,2,4792,30
2022,6,4859,42
2023,3,5072,44
2024,11,4457,114
2025,1,4591,19
2026,4,4822,48
2027,1,4400,26
2028,5,4641,39
2029,0,4818,30
2030,4,4771,35
2031,2,4512,28
2032,2,4667,18
2033,3,4392,30
2034,5,4708,48
2035,1,5011,26
2036,2,4617,36
2037,13,4628,88
2038,10,4430,72
2039,4,4632,28
2040,2,4607,19
2041,8,4609,53
2042,3,4753,25
2043,2,4737,33
2044,13,4895,69
2045,0,4858,3
2046,10,5177,76

min,,3300
max,,6600
steps,,7
decimal
