year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,708,629,-120,-241,71,10.9,4003,42,18.1,46
1988,623,647,-227,-334,33,11.5,4220,56,18.5,49
1989,600,626,-222,-364,45,10.8,3960,40,16.3,42
1990,937,611,123,-108,70,10.7,3939,41,17.6,64
1991,629,786,-451,-491,-3,12.1,4470,61,19.1,39
1992,589,605,-205,-304,44,10.1,3757,36,18.0,76
1993,718,711,-278,-359,-10,10.8,4020,41,18.1,64
1994,706,735,-301,-369,36,10.4,3903,46,16.9,66
1995,623,660,-227,-388,118,10.7,3979,52,18.1,78
1996,749,760,-278,-369,58,10.8,3960,42,18.7,67
1997,704,744,-285,-388,18,10.5,3936,42,18.4,57
1998,608,607,-189,-338,66,10.1,3782,37,17.0,72
1999,568,781,-506,-462,-59,11.4,4176,52,19.3,61
2000,736,745,-265,-323,38,10.5,3950,30,17.8,66
2001,876,636,52,-204,115,11.2,4134,52,18.7,49
2002,688,672,-195,-362,68,11.4,4253,50,18.3,48
2003,725,595,-64,-233,86,10.7,3960,37,17.6,38
2004,671,648,-195,-343,107,11.1,4073,46,18.4,55
2005,602,648,-240,-334,-8,10.6,3967,41,18.8,68
2006,624,658,-238,-347,42,10.5,3938,60,18.8,86
2007,633,613,-198,-281,7,11.5,4228,39,17.5,32
2008,704,654,-149,-325,110,11.3,4153,53,19.2,48
2009,830,606,24,-190,104,10.5,3889,36,17.7,57
2010,749,630,-82,-241,40,11.1,4144,47,18.0,47
2011,567,666,-300,-387,32,11.2,4135,54,19.2,42
2012,538,658,-315,-405,62,10.8,3981,48,18.0,63
2013,666,625,-144,-220,41,9.9,3724,44,17.2,70
2014,721,638,-106,-295,41,10.4,3857,34,16.9,57
2015,609,635,-231,-283,-9,11.7,4273,51,18.7,41
2016,575,643,-275,-355,48,11.1,4068,46,18.0,53
2016
2017,528,687,-357,-443,76,12.1,4421,69,20.2,35
2018,580,659,-285,-337,59,11.3,4156,45,18.0,44
2019,712,673,-174,-375,139,11.9,4396,60,18.8,53
2020,544,718,-374,-470,41,12.6,4626,91,19.4,35
2021,544,792,-506,-508,-5,11.6,4279,77,20.1,46
2022,525,666,-343,-424,81,12.0,4366,57,18.9,32
2023,548,777,-507,-534,19,11.0,4051,49,18.3,56
2024,690,778,-363,-427,17,11.9,4392,60,18.5,35
2025,560,636,-291,-366,57,11.8,4314,45,17.6,35
2026,638,755,-384,-433,12,11.5,4231,57,18.2,41
2027,583,726,-420,-476,40,11.5,4256,56,18.6,46
2028,655,683,-229,-347,88,12.2,4490,79,19.9,23
2029,453,801,-664,-617,-5,12.0,4390,78,20.1,42
2030,649,807,-423,-544,19,12.3,4493,81,20.0,33
2031,526,640,-322,-385,42,12.2,4481,69,17.8,37
2032,501,682,-360,-453,55,11.9,4397,70,18.9,28
2033,736,666,-125,-350,140,12.0,4394,57,19.4,39
2034,719,672,-158,-366,64,12.6,4588,59,19.9,31
2035,673,705,-235,-400,113,12.4,4541,73,20.0,40
2036,701,660,-169,-334,71,12.1,4419,69,20.2,37
2037,587,651,-268,-373,67,11.3,4146,53,18.6,51
2038,719,663,-144,-311,75,12.4,4526,62,19.8,31
2039,480,656,-380,-435,33,12.2,4489,55,18.5,31
2040,716,690,-191,-406,115,12.3,4526,75,19.3,34
2041,532,672,-331,-426,42,11.8,4308,67,18.6,42
2042,721,684,-177,-385,133,12.3,4509,82,20.3,47
2043,601,633,-249,-376,70,12.0,4390,54,18.3,30
2044,631,666,-258,-386,123,12.6,4645,81,20.2,34
2045,653,699,-255,-367,117,12.3,4492,80,20.0,41
2046,583,664,-265,-392,27,11.2,4113,53,18.0,40
