year,F1,F3,M4
,label F1,label F3,label M4
1987,38,125,2
1988,55,124,2
1989,42,123,4
1990,46,122,1
1991,43,111,3
1992,54,131,0
1993,65,133,2
1994,63,129,2
1995,70,132,2
1996,66,133,2
1997,46,126,2
1998,68,137,3
1999,57,118,2
2000,61,125,2
2001,36,120,2
2002,56,112,3
2003,54,127,3
2004,53,125,3
2005,50,131,1
2006,68,130,1
2007,38,113,2
2008,37,130,2
2009,46,131,1
2010,62,122,2
2011,48,124,1
2012,50,125,2
2013,69,126,2
2014,51,127,1
2015,40,113,2
2016,47,125,3
2016
2017,35,124,4
2018,51,128,1
2019,64,128,2
2020,41,113,2
2021,76,131,1
2022,37,119,3
2023,57,128,3
2024,28,130,2
2025,38,123,5
2026,49,121,2
2027,53,129,3
2028,42,114,2
2029,51,118,3
2030,50,122,2
2031,50,121,4
2032,50,122,3
2033,30,125,2
2034,39,117,1
2035,47,113,2
2036,21,117,2
2037,58,131,2
2038,48,112,1
2039,45,114,5
2040,39,114,3
2041,44,118,5
2042,44,125,3
2043,53,123,4
2044,42,117,2
2045,33,130,3
2046,40,128,3
