year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9-LCF
1987,1044,7,240,11
1988,1167,8,251,2
1989,1005,8,303,7
1990,903,9,294,14
1991,1167,10,167,4
1992,1219,11,134,10
1993,1167,10,-41,3
1994,1399,10,46,2
1995,1453,10,140,2
1996,711,7,152,7
1997,1062,10,235,9
1998,1024,8,46,15
1999,1295,7,111,0
2000,1407,8,-92,0
2001,1220,10,77,13
2002,1198,10,177,11
2003,1294,11,177,0
2004,1250,10,194,8
2005,1297,12,238,3
2006,1405,7,205,3
2007,1090,8,256,6
2008,1429,9,167,2
2009,1230,8,328,0
2010,1444,9,-86,0
2011,1150,9,348,10
2012,1323,13,257,13
2013,1075,9,194,3
2014,1233,9,103,3
2015,1118,9,83,11
2016,1326,10,196,5
2016
2017,1679,12,86,4
2018,1257,7,82,8
2019,1434,9,72,1
2020,1292,8,-89,10
2021,1316,9,-20,3
2022,1256,10,111,3
2023,1436,9,-14,4
2024,1372,11,-158,1
2025,1596,10,75,3
2026,1580,11,-148,2
2027,1137,9,258,9
2028,1476,12,189,5
2029,1601,10,-79,3
2030,1316,10,112,14
2031,1478,11,173,8
2032,1406,10,185,4
2033,1374,9,56,3
2034,1195,9,139,4
2035,1339,10,68,5
2036,1383,10,106,7
2037,1042,8,-144,17
2038,1417,10,83,1
2039,1204,10,115,9
2040,1281,11,69,13
2041,1163,9,24,0
2042,1181,10,227,10
2043,1335,9,96,6
2044,1456,8,15,2
2045,1298,10,293,1
2046,1392,11,31,4
