year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,11,-106,-121,-9
1988,7,-172,-167,-20
1989,-52,-179,-199,-50
1990,-69,-211,-288,0
1991,-57,-226,-274,-18
1992,-51,-292,-378,9
1993,-46,-293,-265,86
1994,41,-226,-315,-25
1995,-6,-144,-189,-15
1996,10,-146,-124,20
1997,-23,-204,-37,64
1998,-69,-201,-95,54
1999,-21,-147,-216,15
2000,33,-351,-108,45
2001,30,-164,-40,4
2002,-43,-170,-154,104
2003,-48,-204,-242,84
2004,36,-167,-247,64
2005,10,-103,-102,-8
2006,75,-103,-96,-32
2007,8,-243,-219,3
2008,-43,-194,-210,4
2009,76,-217,-189,50
2010,-4,-30,-22,4
2011,-19,-218,-186,-47
2012,-76,-250,-235,34
2013,19,-40,-228,-15
2014,-68,-207,35,19
2015,-29,-232,-281,16
2016,30,-171,-176,1
