year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-2.5,12.9,17.7,5.7
1988,2.4,13.9,18.2,4.0
1989,3.5,13.8,18.1,4.8
1990,3.9,13.4,17.0,5.0
1991,1.1,11.9,19.0,3.8
1992,2.8,14.4,20.2,4.0
1993,0.7,15.1,17.4,4.1
1994,3.3,14.1,20.1,4.9
1995,2.3,13.5,18.4,3.8
1996,-2.4,14.2,16.2,4.4
1997,1.1,13.3,18.0,4.6
1998,3.1,15.3,18.2,3.1
1999,2.0,14.6,19.4,4.5
2000,2.4,16.7,18.1,7.3
2001,2.2,13.5,18.1,3.7
2002,3.0,15.1,18.6,3.9
2003,0.2,15.6,19.4,4.6
2004,0.9,13.5,18.2,5.5
2005,0.4,14.2,17.6,3.9
2006,-2.6,14.0,18.6,6.7
2007,4.3,15.6,18.5,4.1
2008,3.5,15.0,18.4,6.4
2009,1.0,15.6,19.6,5.3
2010,0.5,14.2,18.4,3.7
2011,1.7,15.5,19.2,5.2
2012,1.8,15.6,19.8,5.2
2013,0.5,14.2,19.1,6.2
2014,4.6,15.1,18.8,7.4
2015,3.3,14.5,21.0,6.6
2016,3.4,14.9,19.8,4.6
