year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,76,201,205,87
1988,88,182,187,67
1989,40,158,146,26
1990,43,107,67,84
1991,23,83,86,60
1992,45,61,43,85
1993,30,83,92,160
1994,144,138,93,58
1995,88,169,179,58
1996,75,185,170,97
1997,54,134,292,129
1998,23,142,230,107
1999,58,167,137,79
2000,107,55,204,112
2001,94,141,276,66
2002,51,159,189,168
2003,38,172,133,146
2004,112,121,96,130
2005,83,225,212,65
2006,135,213,245,51
2007,113,131,158,74
2008,60,139,142,83
2009,153,143,161,118
2010,81,255,286,72
2011,71,132,158,36
2012,46,134,138,113
2013,104,258,157,65
2014,42,126,338,101
2015,73,103,139,90
2016,122,156,172,70
