year,A1,A2,A3
,label A1,label A2,label A3
1987,7,3133,98
1988,9,2908,88
1989,15,3218,149
1990,28,2709,238
1991,29,3093,255
1992,27,3063,178
1993,20,3255,160
1994,30,3095,249
1995,12,3155,113
1996,10,3128,142
1997,36,3384,297
1998,35,3012,271
1999,30,2825,244
2000,10,3260,138
2001,17,3076,106
2002,44,2928,316
2003,28,3056,211
2004,37,3025,269
2005,25,3161,220
2006,20,3066,165
2007,37,2874,280
2008,26,2971,206
2009,29,2939,196
2010,33,2778,250
2011,21,3038,180
2012,16,3016,132
2013,25,2997,190
2014,20,2947,156
2015,22,3084,175
2016,14,3284,119
2016
2017,47,2800,298
2018,40,2811,271
2019,25,2990,197
2020,69,2678,459
2021,8,3019,95
2022,41,2680,266
2023,26,2661,220
2024,34,2570,285
2025,34,2574,229
2026,33,2940,268
2027,33,2839,284
2028,60,2776,363
2029,33,2737,251
2030,24,2958,245
2031,32,2567,196
2032,41,2698,267
2033,44,2581,331
2034,55,2849,369
2035,38,2725,263
2036,46,3114,313
2037,37,2837,287
2038,45,2751,324
2039,30,2791,230
2040,36,2996,266
2041,27,2717,220
2042,13,2590,133
2043,41,2767,292
2044,24,3004,191
2045,57,2753,385
2046,44,2949,264

min,,2000
max,,4000
steps,,9
decimal
