year,annual-estival-days
1987,36
1988,41
1989,44
1990,45
1991,47
1992,66
1993,61
1994,65
1995,60
1996,38
1997,56
1998,55
1999,60
2000,69
2001,47
2002,61
2003,81
2004,48
2005,37
2006,45
2007,69
2008,67
2009,60
2010,40
2011,69
2012,78
2013,56
2014,55
2015,63
2016,76

min,16
max,130
steps,9
decimal
