year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,81,141,0
1988,83,131,0
1989,86,133,1
1990,69,127,0
1991,75,123,0
1992,75,131,1
1993,86,135,0
1994,88,134,1
1995,77,132,1
1996,75,133,0
1997,94,143,0
1998,83,132,0
1999,74,123,1
2000,92,133,0
2001,80,140,0
2002,85,133,1
2003,84,136,1
2004,82,133,0
2005,87,141,1
2006,76,131,0
2007,74,129,0
2008,75,140,1
2009,70,126,1
2010,84,135,0
2011,57,137,1
2012,74,123,0
2013,85,141,0
2014,80,127,0
2015,82,127,0
2016,60,127,0
2016
2017,90,135,1
2018,69,129,1
2019,56,127,0
2020,68,128,0
2021,80,142,1
2022,76,130,0
2023,64,130,1
2024,67,121,1
2025,66,127,1
2026,75,138,0
2027,70,126,0
2028,83,137,2
2029,59,122,0
2030,100,145,1
2031,58,136,0
2032,59,124,0
2033,60,129,1
2034,71,129,0
2035,68,130,0
2036,101,143,0
2037,83,131,1
2038,66,128,0
2039,59,124,0
2040,85,142,1
2041,29,121,0
2042,73,122,0
2043,78,126,0
2044,90,138,1
2045,58,131,1
2046,84,131,1

min,,90,0
max,,190,6
steps,,11,7
decimal
