year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9-LCF
1987,1518,10,-400,5
1988,1501,9,-389,1
1989,1672,10,-416,2
1990,1782,11,-452,5
1991,1870,11,-538,3
1992,1720,10,-465,6
1993,1616,9,-508,0
1994,1767,8,-524,0
1995,1584,8,-352,3
1996,1627,10,-393,5
1997,1763,9,-518,9
1998,2006,10,-462,2
1999,1851,10,-544,0
2000,1799,10,-541,0
2001,1469,10,-333,4
2002,1982,11,-507,2
2003,1797,11,-397,2
2004,1874,11,-338,1
2005,1671,10,-414,6
2006,1501,9,-343,2
2007,1893,10,-488,5
2008,1773,11,-445,7
2009,1812,11,-419,2
2010,1815,9,-423,1
2011,1611,10,-414,6
2012,1618,9,-371,1
2013,1577,9,-334,3
2014,1758,10,-435,0
2015,1840,11,-467,2
2016,1572,10,-357,1
2016
2017,1952,12,-522,0
2018,1821,10,-464,2
2019,1682,8,-380,1
2020,2161,11,-555,7
2021,1298,9,-492,3
2022,1836,11,-330,1
2023,1844,11,-655,0
2024,1930,9,-619,0
2025,1829,12,-373,1
2026,1734,12,-507,6
2027,1806,10,-575,6
2028,1981,11,-439,3
2029,1737,10,-509,4
2030,1773,12,-643,2
2031,1714,9,-427,3
2032,1905,10,-416,4
2033,1982,12,-553,2
2034,2041,12,-434,0
2035,1845,11,-458,3
2036,1890,12,-531,4
2037,1966,10,-508,0
2038,2005,12,-463,1
2039,1815,11,-453,1
2040,1645,10,-378,5
2041,1783,8,-453,2
2042,1848,11,-492,0
2043,1988,12,-449,3
2044,1637,10,-456,1
2045,2112,11,-527,2
2046,1820,9,-430,3

min,,4
max,,17
steps,,8
decimal
