year,F1,F3,M4
,label F1,label F3,label M4
1987,42,134,2
1988,66,122,3
1989,57,140,0
1990,57,134,2
1991,50,126,2
1992,40,121,2
1993,50,138,3
1994,45,117,1
1995,52,133,0
1996,49,137,0
1997,60,125,2
1998,51,130,3
1999,64,127,3
2000,42,129,1
2001,84,143,1
2002,31,123,1
2003,77,128,1
2004,33,120,2
2005,38,128,1
2006,57,123,2
2007,57,132,3
2008,47,134,1
2009,81,142,1
2010,66,127,1
2011,59,117,2
2012,72,130,2
2013,63,130,1
2014,76,145,1
2015,41,132,1
2016,36,113,0
2016
2017,56,130,2
2018,36,132,3
2019,57,128,3
2020,51,126,2
2021,49,135,0
2022,46,118,2
2023,36,122,1
2024,42,132,3
2025,53,137,0
2026,48,127,4
2027,50,129,2
2028,53,122,4
2029,42,141,2
2030,45,135,2
2031,42,126,3
2032,38,133,5
2033,56,135,1
2034,60,123,3
2035,55,131,2
2036,48,122,4
2037,42,126,2
2038,54,133,2
2039,41,116,0
2040,52,116,3
2041,46,128,3
2042,57,130,3
2043,60,121,4
2044,57,137,0
2045,27,134,2
2046,52,115,3

min,,80,0
max,,170,8
steps,,10,9
decimal



