year,A1,A2,A3
,label A1,label A2,label A3
1987,4,2790,38
1988,42,2614,288
1989,16,2771,120
1990,12,2616,103
1991,5,2631,65
1992,32,2506,179
1993,19,2731,188
1994,20,2545,175
1995,28,2666,174
1996,11,2737,98
1997,6,2627,80
1998,22,2585,155
1999,7,2567,107
2000,16,2617,157
2001,23,2930,141
2002,25,2434,164
2003,26,2814,213
2004,31,2462,204
2005,19,2525,128
2006,34,2721,208
2007,26,2762,178
2008,13,2580,101
2009,32,3117,216
2010,11,2644,83
2011,36,2522,227
2012,18,2504,153
2013,11,2616,90
2014,11,3072,84
2015,16,2709,115
2016,16,2348,106
2016
2017,21,2455,163
2018,48,2736,317
2019,14,2354,124
2020,22,2270,170
2021,11,2467,99
2022,27,2224,164
2023,23,2166,238
2024,29,2345,221
2025,27,2543,181
2026,29,2204,232
2027,11,2466,101
2028,45,2201,256
2029,18,2535,146
2030,27,2559,202
2031,33,2309,206
2032,32,2378,192
2033,20,2671,151
2034,16,2387,126
2035,15,2454,136
2036,26,2389,177
2037,27,2205,195
2038,29,2393,193
2039,13,2090,113
2040,21,2361,151
2041,44,2336,317
2042,23,2605,168
2043,18,2437,127
2044,20,2581,170
2045,24,2385,174
2046,16,2344,127

min,,1800
max,,3400
steps,,9
decimal



