year,annual-frozen-days
1987,71
1988,35
1989,56
1990,44
1991,71
1992,53
1993,68
1994,40
1995,59
1996,86
1997,68
1998,63
1999,48
2000,29
2001,56
2002,41
2003,66
2004,63
2005,70
2006,74
2007,48
2008,67
2009,68
2010,73
2011,36
2012,46
2013,57
2014,20
2015,45
2016,52
