year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,92,0,-48,132
1988,234,-64,-100,139
1989,38,-131,-218,134
1990,76,-111,-113,204
1991,98,-132,-176,144
1992,23,-117,-158,144
1993,-16,-184,-111,146
1994,176,-54,38,131
1995,249,-50,-91,58
1996,15,-164,-127,220
1997,53,-94,-176,118
1998,16,-44,-133,232
1999,137,-92,-91,206
2000,86,-121,114,228
2001,176,-50,4,158
2002,125,-198,-179,179
2003,18,-184,-263,80
2004,42,-120,-132,101
2005,13,-123,-53,55
2006,92,-145,-149,99
2007,117,-149,-56,67
2008,130,4,-73,123
2009,31,-136,-181,106
2010,17,-144,-2,180
2011,36,-206,-116,82
2012,3,5,-146,179
2013,74,26,-65,215
2014,51,-167,-22,177
2015,102,-135,-184,73
2016,202,15,-218,63
