year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,59,-43,-1,149
1988,261,-137,32,76
1989,44,-105,-154,120
1990,73,-138,-194,179
1991,33,-12,-108,180
1992,23,-36,-28,130
1993,-11,-122,52,196
1994,98,-77,-87,117
1995,156,-117,-40,37
1996,13,-160,-46,148
1997,32,-29,-132,251
1998,116,53,21,295
1999,141,-84,-40,272
2000,106,-34,1,191
2001,165,-121,106,66
2002,162,-104,-39,218
2003,32,-125,-188,83
2004,109,-129,-31,93
2005,58,-151,55,126
2006,77,-96,-103,136
2007,111,-84,41,130
2008,104,-124,4,124
2009,125,-52,-203,274
2010,73,-191,52,188
2011,36,-226,-55,155
2012,100,-9,-66,286
2013,115,-109,-71,223
2014,71,-97,-7,108
2015,181,-141,-55,150
2016,249,76,-181,149
