id;year;IAC - F1 - Date de redémarrage pousse de l'herbe (200 DJ - 01/01);IAC - F3 - Date de fauche précoce (750 DJ - 01/02);IAC - M4 - Nb de séquences de 10 jours consécutifs sans pluie  (01/05au 31/08)
71079;1987;18/01/2017;05/04/2017;2
71079;1988;22/01/2017;27/03/2017;1
71079;1989;00/01/1900;23/03/2017;1
71079;1990;00/01/1900;08/04/2017;0
71079;1991;00/01/1900;00/01/1900;0
71079;1992;24/01/2017;28/03/2017;1
71079;1993;26/01/2017;29/03/2017;1
71079;1994;00/01/1900;30/03/2017;0
71079;1995;00/01/1900;31/03/2017;1
71079;1996;18/01/2017;29/03/2017;0
71079;1997;00/01/1900;24/03/2017;0
71079;1998;00/01/1900;10/01/2017;0
71079;1999;00/01/1900;31/01/2017;2
71079;2000;15/01/2017;04/04/2017;2
71079;2001;00/01/1900;06/04/2017;0
71079;2002;21/01/2017;05/04/2017;0
71079;2003;00/01/1900;01/04/2017;2
71079;2004;23/01/2017;03/04/2017;2
71079;2005;00/01/1900;30/03/2017;1
71079;2006;17/01/2017;01/04/2017;2
71079;2007;00/01/1900;00/01/1900;1
71079;2008;17/01/2017;07/04/2017;0
71079;2009;18/01/2017;30/03/2017;1
71079;2010;24/01/2017;01/04/2017;1
71079;2011;00/01/1900;00/01/1900;1
71079;2012;00/01/1900;07/04/2017;1
71079;2013;00/01/1900;00/01/1900;1
71079;2014;17/01/2017;03/04/2017;1
71079;2015;25/01/2017;00/01/1900;1
71079;2016;21/01/2017;11/04/2017;1
71079;2017;18/01/2017;04/04/2017;1
71079;2018;18/01/2017;31/03/2017;2
71079;2019;00/01/1900;21/03/2017;0
71079;2020;16/01/2017;00/01/1900;3
71079;2021;00/01/1900;30/03/2017;1
71079;2022;21/01/2017;00/01/1900;0
71079;2023;00/01/1900;27/03/2017;1
71079;2024;00/01/1900;29/03/2017;0
71079;2025;20/01/2017;00/01/1900;0
71079;2026;00/01/1900;08/04/2017;0
71079;2027;00/01/1900;01/04/2017;2
71079;2028;00/01/1900;00/01/1900;1
71079;2029;20/01/2017;29/03/2017;0
71079;2030;00/01/1900;00/01/1900;1
71079;2031;00/01/1900;27/03/2017;0
71079;2032;00/01/1900;31/03/2017;1
71079;2033;00/01/1900;10/04/2017;0
71079;2034;15/01/2017;26/03/2017;5
71079;2035;16/01/2017;24/03/2017;3
71079;2036;00/01/1900;00/01/1900;2
71079;2037;19/01/2017;30/03/2017;0
71079;2038;00/01/1900;00/01/1900;2
71079;2039;24/01/2017;02/04/2017;0
71079;2040;18/01/2017;30/03/2017;0
71079;2041;17/01/2017;07/04/2017;2
71079;2042;00/01/1900;00/01/1900;4
71079;2043;15/01/2017;01/04/2017;4
71079;2044;00/01/1900;00/01/1900;1
71079;2045;00/01/1900;31/03/2017;0
71079;2046;00/01/1900;24/02/2017;0
