year,A1,A2,A3
,label A1,label A2,label A3
1987,41,2453,294
1988,53,2430,413
1989,24,2323,236
1990,36,2493,316
1991,50,2611,381
1992,24,2754,182
1993,39,2616,306
1994,51,2536,433
1995,41,2403,291
1996,27,2520,242
1997,26,2404,306
1998,39,2290,309
1999,49,2476,374
2000,14,2420,172
2001,38,2656,250
2002,18,2464,175
2003,34,2499,303
2004,26,2368,223
2005,28,2510,224
2006,29,2097,233
2007,40,2507,310
2008,14,2594,179
2009,29,2426,250
2010,18,2307,213
2011,39,2432,300
2012,22,2445,193
2013,49,2456,364
2014,32,2617,276
2015,27,2609,220
2016,33,2227,267
2016
2017,67,2301,458
2018,56,2514,430
2019,46,2085,367
2020,60,2285,478
2021,36,2349,298
2022,60,2267,377
2023,64,2232,447
2024,70,1948,529
2025,47,2150,324
2026,58,2028,424
2027,41,2135,341
2028,58,2375,483
2029,69,2267,506
2030,64,2231,525
2031,64,2327,435
2032,58,2346,492
2033,47,2124,398
2034,42,2092,366
2035,63,2011,440
2036,61,2224,452
2037,51,2212,388
2038,57,2311,432
2039,77,2190,523
2040,60,2264,450
2041,62,2305,449
2042,40,2236,299
2043,56,2338,384
2044,38,2351,308
2045,78,2256,515
2046,85,2064,654

min,,1500
max,,3000
steps,,11
decimals
