year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,44,-273,-377,15
1988,-76,-85,-429,-72
1989,-91,-241,-423,172
1990,-112,-249,-434,-3
1991,5,-367,-456,33
1992,-106,-261,-394,111
1993,-102,-148,-380,60
1994,-46,-270,-426,44
1995,-75,-331,-452,71
1996,32,-251,-405,59
1997,-74,-175,-252,150
1998,-74,-200,-397,-70
1999,-77,-301,-316,27
2000,-94,-190,-386,125
2001,141,-349,-353,-66
2002,-73,-309,-364,114
2003,40,-320,-419,108
2004,-21,-274,-465,-14
2005,-111,-335,-498,54
2006,-33,-320,-425,24
2007,-21,-205,-438,-11
2008,-62,-48,-418,46
2009,-74,-299,-473,48
2010,51,-176,-438,63
2011,-2,-274,-425,-47
2012,-98,-251,-444,4
2013,129,-156,-400,33
2014,6,-353,-349,-3
2015,-40,-245,-447,-17
2016,42,-166,-411,0
