year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1989,12,-677,3
1988,2199,10,-763,4
1989,1997,10,-757,1
1990,2033,13,-695,3
1991,1849,12,-726,10
1992,1611,11,-570,2
1993,1800,14,-704,6
1994,2131,13,-834,0
1995,1968,10,-746,1
1996,1866,10,-764,0
1997,2021,11,-795,3
1998,2104,11,-695,0
1999,2084,12,-778,4
2000,1621,11,-634,5
2001,1805,9,-652,6
2002,1731,12,-545,2
2003,2046,11,-712,1
2004,1898,11,-717,0
2005,1902,10,-620,2
2006,1950,10,-717,0
2007,1915,10,-580,0
2008,1805,11,-714,3
2009,1848,9,-603,0
2010,1905,12,-761,3
2011,2029,9,-657,4
2012,1719,11,-594,8
2013,2112,10,-709,2
2014,1822,9,-658,2
2015,1780,11,-667,0
2016,2096,10,-770,0
2016
2017,2132,12,-531,1
2018,1990,12,-640,11
2019,2204,14,-758,1
2020,2296,11,-841,0
2021,1926,11,-769,1
2022,2100,13,-667,0
2023,2114,11,-775,8
2024,2349,12,-893,0
2025,2043,11,-709,0
2026,2173,14,-776,0
2027,2105,13,-843,0
2028,2229,11,-737,7
2029,2322,11,-840,0
2030,2399,13,-901,0
2031,2081,12,-636,5
2032,2170,14,-660,4
2033,2186,13,-777,1
2034,2017,13,-513,1
2035,2109,11,-677,2
2036,2185,10,-616,2
2037,2158,12,-709,0
2038,2138,11,-746,2
2039,2468,13,-801,0
2040,2229,12,-782,5
2041,1976,10,-729,7
2042,1969,11,-626,2
2043,2107,10,-606,2
2044,1918,11,-659,3
2045,2262,12,-791,0
2046,2321,13,-756,2

min,1500,6
max,3000,20
steps,11,8
decimals
