year,annual-average-temperature
1987,12.3
1988,11.4
1989,12.4
1990,11.9
1991,12.3
1992,11.6
1993,11.1
1994,12.5
1995,12.8
1996,11.8
1997,12.5
1998,12.2
1999,11.8
2000,12.2
2001,11.0
2002,11.3
2003,11.6
2004,10.6
2005,10.6
2006,11.7
2007,10.3
2008,10.2
2009,11.3
2010,10.8
2011,11.8
2012,11.0
2013,10.8
2014,11.9
2015,11.7
2016,11.5

min.,10
max.,17
steps,8
decimals
