year,annual-precipitations
1987,737
1988,656
1989,588
1990,624
1991,518
1992,636
1993,559
1994,525
1995,706
1996,535
1997,507
1998,683
1999,701
2000,763
2001,767
2002,777
2003,386
2004,552
2005,545
2006,643
2007,699
2008,557
2009,672
2010,680
2011,537
2012,637
2013,649
2014,654
2015,439
2016,665

min,300
max,2000
steps,10
decimal
