year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,103,-62,-26,65
1988,163,-212,-149,120
1989,33,-127,-165,108
1990,24,-115,-100,115
1991,-1,-138,-73,64
1992,35,-173,-123,92
1993,-53,-221,-149,170
1994,34,-135,-203,49
1995,140,-128,-106,43
1996,-20,-169,-125,123
1997,0,-154,-179,60
1998,-18,-132,-117,179
1999,79,-163,-16,94
2000,71,-150,27,92
2001,172,-177,-117,104
2002,71,-160,-99,183
2003,-19,-261,-313,46
2004,-1,-187,-94,39
2005,-10,-82,-206,23
2006,48,-158,-128,74
2007,51,-98,-100,28
2008,54,-184,-138,35
2009,62,-144,-159,118
2010,35,-120,-94,88
2011,0,-231,-118,59
2012,-20,-116,-134,110
2013,21,-36,-207,114
2014,-7,-186,-14,92
2015,13,-230,-222,40
2016,119,-31,-205,40
