year,A1,A2,A3
,label A1,label A2,label A3
1987,23,2790,167
1988,12,2911,75
1989,36,2739,240
1990,16,2889,134
1991,15,2783,162
1992,32,2701,205
1993,8,2530,83
1994,5,2673,77
1995,4,2768,69
1996,21,2809,178
1997,22,2860,221
1998,28,3074,190
1999,7,2660,101
2000,52,2687,328
2001,44,2941,310
2002,23,2726,161
2003,31,2942,237
2004,40,2872,258
2005,24,2861,181
2006,24,3206,195
2007,18,2969,153
2008,37,2779,270
2009,29,3092,224
2010,39,2622,229
2011,16,2751,156
2012,22,2364,135
2013,22,2804,160
2014,6,2858,64
2015,23,2818,177
2016,16,2856,122
2016
2017,22,2706,185
2018,20,2713,191
2019,25,2331,199
2020,33,2481,216
2021,32,2746,259
2022,30,2732,189
2023,26,2814,208
2024,35,2688,278
2025,14,2618,110
2026,20,2392,191
2027,16,2251,131
2028,46,2785,282
2029,23,2577,214
2030,10,2539,137
2031,48,2343,297
2032,36,2625,240
2033,22,2499,169
2034,33,2362,284
2035,43,2618,273
2036,29,2435,229
2037,19,2742,168
2038,41,2301,290
2039,19,2531,143
2040,54,2696,354
2041,24,2461,208
2042,21,2466,157
2043,49,2645,392
2044,38,2622,236
2045,36,2681,280
2046,47,2443,327

min,,2000
max,,4000
steps,,9
decimal
