year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,171,189,245,132
1988,242,82,152,180
1989,115,172,128,172
1990,119,152,175,178
1991,71,101,226,120
1992,119,154,202,161
1993,39,115,168,236
1994,116,166,124,119
1995,239,151,213,104
1996,60,119,162,194
1997,92,142,137,136
1998,90,173,181,239
1999,149,116,281,154
2000,153,152,294,165
2001,255,143,200,169
2002,173,154,198,253
2003,83,105,79,119
2004,98,125,225,104
2005,81,243,125,97
2006,123,157,210,153
2007,158,246,192,103
2008,156,137,159,105
2009,141,176,162,194
2010,123,189,209,159
2011,96,127,177,137
2012,82,189,189,177
2013,98,239,126,186
2014,96,133,268,157
2015,103,96,129,111
2016,208,246,114,97
