year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,8.4,16.9,23.7,13.4
1988,10.5,17.4,22.6,12.9
1989,10.4,17.8,23.7,13.4
1990,11.5,17.8,23.5,12.2
1991,9.5,16.3,24.6,11.8
1992,8.9,17.2,22.4,12.4
1993,9.0,17.7,21.9,11.7
1994,11.1,17.5,23.7,13.9
1995,10.7,17.6,23.2,13.7
1996,9.9,18.0,22.1,12.8
1997,11.7,18.0,23.2,13.9
1998,11.1,17.9,23.3,12.0
1999,10.5,18.1,23.7,12.3
2000,10.9,18.0,22.8,13.4
2001,11.1,18.7,23.2,12.4
2002,11.2,17.9,22.0,13.5
2003,9.2,19.3,25.0,13.0
2004,9.1,17.2,22.6,12.6
2005,8.0,17.8,22.5,11.4
2006,8.6,18.1,23.5,14.1
2007,10.9,18.4,21.8,12.0
2008,10.7,17.5,22.0,11.7
2009,9.1,18.2,23.5,13.3
2010,7.7,17.5,23.0,11.5
2011,9.8,18.6,22.9,14.6
2012,9.3,17.9,22.7,13.2
2013,8.5,16.1,23.3,12.8
2014,10.9,18.6,22.8,14.6
2015,9.6,18.8,23.0,14.2
2016,10.5,17.5,23.9,13.4
