year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,26,0,-147,6,9,-468,50,2,94
1988,16,0,-98,9,6,-399,26,4,36
1989,28,0,-261,8,2,-605,35,5,31
1990,29,0,-160,8,0,-498,41,2,29
1991,12,1,-251,9,6,-578,47,16,24
1992,28,0,-142,8,4,-423,37,5,73
1993,27,0,-269,10,16,-626,28,0,22
1994,22,0,-282,9,5,-611,37,14,20
1995,38,0,-187,9,4,-477,26,1,42
1996,37,0,-285,8,6,-577,35,0,51
1997,27,0,-253,9,3,-579,42,7,19
1998,32,0,-184,8,11,-489,31,1,31
1999,35,0,-250,8,10,-557,41,1,34
2000,31,0,-279,9,2,-630,41,4,35
2001,23,0,-191,8,10,-494,48,2,45
2002,26,0,-134,7,9,-454,26,3,52
2003,31,1,-232,9,5,-536,35,4,42
2004,22,0,-116,7,9,-416,46,5,48
2005,27,0,-200,10,7,-485,42,7,66
2006,40,0,-216,8,2,-535,22,5,64
2007,29,1,-162,6,6,-449,48,5,71
2008,39,0,-139,9,7,-479,43,2,43
2009,21,0,-226,9,1,-524,46,7,54
2010,36,2,-218,8,3,-547,40,1,46
2011,44,0,-175,8,15,-503,31,4,13
2012,28,0,-80,8,4,-400,41,2,26
2013,43,0,-251,10,4,-580,29,1,23
2014,27,0,-211,7,9,-534,34,0,25
2015,23,0,-110,8,0,-428,47,4,5
2016,39,0,-213,10,5,-530,25,4,62
2016
2017,52,0,-309,8,13,-657,22,0,60
2018,47,0,-275,9,7,-592,26,4,56
2019,50,0,-265,9,15,-615,27,1,76
2020,37,0,-193,6,17,-525,32,1,58
2021,49,0,-331,8,19,-721,36,0,57
2022,36,0,-290,7,28,-601,32,0,76
2023,34,0,-305,11,13,-687,35,1,32
2024,46,0,-255,11,15,-617,30,1,30
2025,38,0,-236,10,1,-425,29,0,173
2026,38,0,-204,8,30,-576,44,3,87
2027,42,0,-300,10,10,-673,33,2,53
2028,55,0,-219,11,16,-566,26,0,10
2029,47,0,-340,10,36,-740,34,0,35
2030,40,0,-261,9,15,-632,26,0,89
2031,39,0,-198,10,7,-515,37,1,67
2032,33,0,-193,7,8,-514,40,1,38
2033,37,0,-244,8,21,-550,41,0,80
2034,37,0,-247,7,32,-632,36,2,22
2035,48,0,-280,10,16,-610,27,1,65
2036,40,0,-295,7,9,-631,29,1,57
2037,38,0,-271,6,14,-598,33,0,40
2038,44,0,-246,8,20,-474,25,1,244
2039,42,0,-264,9,12,-562,27,0,66
2040,40,0,-258,11,12,-563,36,1,44
2041,37,0,-226,8,18,-571,21,0,20
2042,48,0,-184,9,23,-531,39,0,6
2043,46,0,-275,9,9,-615,23,6,25
2044,29,2,-244,8,11,-588,37,0,71
2045,50,0,-242,10,6,-523,29,0,0
2046,29,0,-220,10,16,-545,33,3,66

min,,0
max,,6
steps,,7
decimal
