year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,168,69,79,251
1988,119,237,34,79
1989,59,87,87,247
1990,117,119,63,118
1991,217,99,27,192
1992,276,225,261,243
1993,116,174,99,271
1994,31,84,159,145
1995,26,46,74,258
1996,276,90,73,346
1997,59,112,103,196
1998,76,71,56,150
1999,71,175,120,298
2000,74,155,20,165
2001,118,45,55,112
2002,75,390,131,128
2003,210,73,40,376
2004,267,205,145,116
2005,64,91,238,263
2006,231,11,81,90
2007,131,215,17,93
2008,124,157,65,232
2009,92,155,36,118
2010,187,84,54,207
2011,181,69,75,182
2012,78,89,84,89
2013,183,132,110,92
2014,64,68,248,281
2015,100,89,106,50
2016,98,83,68,280
