year,annual-average-temperature
1987,15.6
1988,15.9
1989,16.4
1990,16.3
1991,15.6
1992,15.3
1993,15.1
1994,16.6
1995,16.3
1996,15.7
1997,16.7
1998,16.1
1999,16.2
2000,16.3
2001,16.4
2002,16.2
2003,16.7
2004,15.4
2005,15.0
2006,16.1
2007,15.8
2008,15.5
2009,16.1
2010,15.0
2011,16.5
2012,15.8
2013,15.2
2014,16.7
2015,16.5
2016,16.4

min,11
max,17
steps,7
decimal


