year,A1,A2,A3
,label A1,label A2,label A3
1987,74,1728,501
1988,60,1529,442
1989,66,1642,432
1990,60,1578,448
1991,53,1846,421
1992,65,1813,433
1993,63,1588,518
1994,50,1656,391
1995,73,1473,435
1996,68,1388,529
1997,63,1634,491
1998,70,1535,511
1999,64,1499,480
2000,46,1721,423
2001,66,1732,458
2002,62,1712,426
2003,56,1624,415
2004,57,1677,464
2005,67,1695,476
2006,57,1669,420
2007,76,1736,490
2008,72,1671,467
2009,65,1895,439
2010,71,1758,485
2011,80,1524,555
2012,72,1741,449
2013,72,1619,486
2014,68,1689,483
2015,50,1766,355
2016,73,1656,501
2016
2017,98,1283,684
2018,87,1569,607
2019,93,1547,656
2020,95,1603,679
2021,99,1525,725
2022,80,1539,597
2023,91,1601,680
2024,91,1571,660
2025,80,1458,527
2026,85,1579,687
2027,69,1545,593
2028,114,1252,786
2029,92,1428,770
2030,77,1431,628
2031,70,1605,470
2032,79,1411,548
2033,90,1562,649
2034,79,1636,664
2035,95,1402,640
2036,80,1524,579
2037,83,1660,592
2038,104,1349,722
2039,80,1275,577
2040,86,1478,612
2041,89,1375,649
2042,120,1587,840
2043,101,1516,612
2044,82,1560,585
2045,77,1632,551
2046,86,1499,639

min,,1000
max,,2350
steps,,10
decimal



