year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,132,-42,2,151
1988,247,-184,70,117
1989,86,-140,-150,117
1990,97,-137,-152,125
1991,41,-96,-170,186
1992,39,-141,-18,204
1993,19,-202,31,192
1994,141,-84,-78,150
1995,225,-62,-164,58
1996,10,-180,5,151
1997,59,-6,-121,81
1998,90,-15,10,266
1999,177,-84,-58,145
2000,132,-83,-13,168
2001,156,-166,70,129
2002,138,-139,-97,168
2003,31,-138,-152,151
2004,95,-129,12,116
2005,93,-132,-55,81
2006,97,-131,-127,144
2007,163,-107,-34,100
2008,106,-134,-24,79
2009,88,-169,-148,226
2010,104,-203,-7,185
2011,77,-195,-14,145
2012,53,-35,-45,183
2013,47,-116,-112,162
2014,1,-126,84,122
2015,113,-221,-60,86
2016,163,43,-182,90
