year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,191,186,246,221
1988,327,91,312,187
1989,169,146,125,190
1990,200,136,116,194
1991,119,134,112,247
1992,117,152,254,266
1993,109,89,259,254
1994,219,173,213,213
1995,304,184,147,118
1996,80,91,236,199
1997,123,235,130,135
1998,159,223,231,309
1999,239,168,206,199
2000,200,180,221,247
2001,227,127,343,200
2002,232,143,163,232
2003,124,172,160,215
2004,181,148,292,180
2005,178,164,207,154
2006,170,156,180,225
2007,258,201,220,164
2008,197,163,230,134
2009,159,132,151,301
2010,179,94,268,244
2011,157,128,237,217
2012,135,231,239,247
2013,117,151,186,239
2014,112,155,347,195
2015,194,90,232,164
2016,245,317,111,148
