year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,2,2,-15,3,0,-50,74,26,110
1988,9,0,-21,5,4,-136,69,16,135
1989,0,6,-61,4,3,-135,74,17,118
1990,7,18,-82,4,1,-152,78,26,135
1991,8,4,-95,4,0,-194,65,28,91
1992,7,3,1,1,1,-59,67,32,92
1993,6,0,-136,5,5,-188,66,12,174
1994,23,2,-108,2,0,-247,49,19,133
1995,5,1,-105,4,0,-169,57,12,102
1996,7,2,-98,0,0,-221,55,26,117
1997,6,2,-67,1,2,-137,50,24,128
1998,10,1,-65,4,2,-131,66,25,172
1999,11,6,-37,3,1,-237,59,33,118
2000,8,1,-92,1,0,-110,58,23,106
2001,1,3,-52,3,0,-135,64,32,117
2002,7,2,-85,5,4,-177,59,40,148
2003,7,9,-78,4,0,-148,51,27,114
2004,1,0,6,4,1,-117,63,27,132
2005,11,0,-39,2,0,-157,57,26,70
2006,0,3,11,1,0,-20,78,17,84
2007,8,1,-36,3,0,-158,60,11,113
2008,8,11,-39,2,8,-175,64,29,136
2009,0,2,-15,2,2,-140,74,16,126
2010,16,0,-61,1,1,-97,51,30,70
2011,3,1,-14,5,0,-73,68,34,155
2012,9,0,-26,2,1,-148,66,25,92
2013,3,3,-60,3,0,-87,72,23,70
2014,3,1,-16,4,2,-184,66,33,40
2015,10,4,-76,3,0,-156,60,17,74
2016,13,1,-69,3,0,-167,67,24,121
2016
2017,9,6,20,4,0,-102,60,21,123
2018,13,3,-89,4,1,-216,56,14,165
2019,7,5,74,3,1,-22,71,14,146
2020,21,0,-52,4,1,-162,57,10,110
2021,4,4,-139,4,0,-274,60,15,89
2022,10,8,-9,4,0,-162,48,32,71
2023,13,6,-17,4,2,-200,62,4,93
2024,20,3,-203,5,2,-412,46,10,55
2025,16,4,-107,4,2,-215,53,8,40
2026,10,8,-130,4,1,-299,60,14,115
2027,8,2,-21,3,4,-155,67,12,99
2028,9,0,1,6,1,-190,56,3,57
2029,11,5,-90,4,3,-291,70,11,111
2030,13,3,-127,5,1,-304,66,7,142
2031,18,8,-40,4,0,-186,54,6,73
2032,9,3,-81,3,3,-219,65,16,124
2033,4,2,-55,5,1,-162,63,14,126
2034,9,4,20,5,0,-120,65,13,116
2035,19,10,-72,2,3,-195,46,16,101
2036,6,0,14,3,3,-112,68,20,82
2037,5,1,-45,4,2,-160,63,15,110
2038,37,5,-119,1,4,-280,42,10,66
2039,14,8,-38,3,0,-200,61,14,104
2040,12,5,-12,5,2,-132,70,5,71
2041,8,3,-85,4,0,-264,59,13,29
2042,7,10,-70,4,0,-161,62,9,82
2043,4,5,-73,1,0,-175,59,14,73
2044,14,8,-101,4,1,-236,55,9,115
2045,12,6,15,5,1,-103,61,10,75
2046,10,7,-91,7,0,-189,60,8,111
