year,annual-hydric-deficit
1987,203
1988,226
1989,-131
1990,-180
1991,-134
1992,119
1993,36
1994,-37
1995,-96
1996,-100
1997,-92
1998,27
1999,-7
2000,237
2001,309
2002,16
2003,-337
2004,-180
2005,-113
2006,-27
2007,-26
2008,59
2009,-166
2010,-90
2011,-264
2012,24
2013,47
2014,64
2015,-55
2016,-44
