year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,110,-7,-37,136
1988,203,-130,10,143
1989,71,-75,-201,74
1990,67,-147,-232,131
1991,48,-90,-164,73
1992,29,-47,17,120
1993,-4,-127,-48,216
1994,105,-115,-77,50
1995,190,-112,-172,-3
1996,6,-141,-101,136
1997,8,-76,-160,136
1998,17,-61,-90,161
1999,57,-119,-110,165
2000,34,-77,-36,316
2001,255,-76,4,127
2002,126,-122,-129,140
2003,0,-136,-260,59
2004,54,-160,-126,52
2005,48,-136,-82,57
2006,67,-99,-72,77
2007,76,-114,-76,88
2008,80,-125,29,75
2009,58,-134,-226,136
2010,52,-199,-41,97
2011,-15,-237,-61,50
2012,15,10,-119,118
2013,7,-83,-86,209
2014,51,-79,-11,102
2015,112,-151,-82,67
2016,115,16,-214,39
