year,winter-soft-wheat,winter-barley,triticale,rye,maize-for-grain,winter-rapeseed,linseed-oild,spring-field-peas,broad-bean,sugar-beet,potatoes,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,80,73,70,50,90,31,30,52,50,730,470,145,100,75
2001,80,76,75,50,85,33,25,48,45,595,430,140,90,65
2002,85,82,80,60,84,34,25,54,58,730,449,145,90,68
2003,86,75,72,60,94,36,25,53,52,815,430,151,92,67
2004,92,85,75,70,91,41,,56,55,823,517,150,95,69
2005,84,83,74,60,94,40,,41,42,795,477,153,89,73
2006,80,77,66,35,100,30,15,50,44,800,427,138,89,65
2007,72,73,54,40,100,32,15,40,44,770,495,137,117,88
2008,87,82,74,60,100,37,15,50,52,825,460,145,109,81
2009,93,83,72,53,103,44,15,55,55,968,455,144,77,59
2010,88,84,71,54,104,41,20,52,37,861,446,150,89,68
2011,91,82,71,54,105,47,20,55,56,975,520,153,81,61
2012,79,81,70,54,93,41,,50,60,830,380,132,98,77
2013,92,85,75,76,91,41,,52,50,870,451,142,98,77
2014,88,86,72,70,112,36,22,53,45,930,550,168,126,95
2015,100,98,65,74,92,45,,40,36,938,461,163,87,58
2016,64,60,42,59,68,33,18,28,33,866,397,140,90,74
2017,90,86,70,58,96,45,20,40,24,958,458,155,56,46
