year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,97,143,1
1988,95,156,0
1989,78,133,0
1990,50,136,1
1991,91,148,0
1992,83,162,0
1993,77,138,0
1994,59,141,0
1995,76,139,0
1996,88,142,0
1997,61,144,0
1998,78,134,0
1999,95,145,0
2000,72,134,0
2001,69,133,1
2002,77,139,0
2003,79,138,1
2004,88,152,0
2005,96,161,0
2006,88,145,0
2007,49,121,1
2008,74,145,1
2009,80,146,0
2010,87,148,0
2011,68,124,0
2012,112,158,0
2013,85,143,1
2014,60,135,1
2015,104,155,0
2016,81,138,0
2016
2017,48,125,1
2018,66,130,0
2019,108,155,0
2020,82,151,0
2021,59,143,0
2022,79,141,1
2023,78,133,0
2024,66,139,0
2025,70,129,1
2026,69,137,0
2027,83,135,0
2028,48,127,1
2029,86,139,1
2030,75,146,0
2031,80,147,0
2032,71,154,1
2033,74,142,0
2034,90,147,0
2035,60,131,0
2036,56,144,0
2037,46,142,0
2038,75,136,1
2039,76,146,0
2040,51,129,1
2041,94,146,2
2042,59,125,1
2043,79,147,1
2044,57,133,1
2045,103,152,0
2046,88,138,1

min,,90,0
max,,190,6
steps,,11,7
decimal
