year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,165,20,18,116
1988,251,-167,-83,154
1989,50,-17,-129,173
1990,-36,-54,-84,48
1991,-42,-168,-232,-18
1992,34,-199,-67,17
1993,-23,-153,-66,78
1994,36,-94,-123,26
1995,3,38,33,47
1996,-22,-106,11,59
1997,31,-182,-140,72
1998,-20,-123,-76,103
1999,31,-71,-118,71
2000,110,-211,-52,-8
2001,56,-66,-73,76
2002,3,-125,-27,184
2003,10,-215,-197,22
2004,25,-124,-140,77
2005,28,-148,-14,13
2006,38,-158,-207,-3
2007,10,-144,78,38
2008,0,-124,-136,51
2009,44,-94,-152,142
2010,14,-106,71,141
2011,-23,-183,-103,-5
2012,-14,-181,-132,69
2013,85,58,-205,19
2014,-77,-164,42,19
2015,-12,-148,-211,50
2016,39,-127,-184,59
