year,annual-hydric-deficit
1987,319
1988,154
1989,76
1990,-126
1991,-461
1992,-215
1993,-164
1994,-155
1995,122
1996,-58
1997,-219
1998,-117
1999,-88
2000,-161
2001,-7
2002,35
2003,-379
2004,-162
2005,-120
2006,-329
2007,-18
2008,-210
2009,-60
2010,119
2011,-314
2012,-258
2013,-44
2014,-180
2015,-321
2016,-213
