year,annual-estival-days
1987,52
1988,50
1989,93
1990,64
1991,74
1992,56
1993,54
1994,52
1995,61
1996,48
1997,64
1998,50
1999,67
2000,58
2001,58
2002,45
2003,97
2004,60
2005,58
2006,62
2007,48
2008,40
2009,64
2010,56
2011,62
2012,55
2013,59
2014,45
2015,58
2016,49
