year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,other-cereal,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,74,70,53,92,40,32,28,28,45,30,70,110,77,47
2001,64,62,46,86,35,24,22,28,36,28,62,110,77,48
2002,71,69,53,86,38,29,28,28,42,30,61,110,67,41
2003,52,52,34,54,35,28,23,20,40,30,43,50,37,22
2004,77,70,61,88,40,35,29,28,46,32,71,120,77,57
2005,67,68,46,84,38,33,28,25,39,28,64,100,64,46
2006,64,66,45,70,40,28,21,27,34,25,63,72,57,42
2007,60,60,38,73,40,28,26,33,37,30,60,117,68,52
2008,67,70,34,90,40,33,27,,42,40,61,110,69,52
2009,71,67,50,83,40,37,29,30,46,31,63,105,68,46
2010,65,64,46,91,40,30,24,27,45,22,56,90,66,47
2011,62,59,50,97,40,31,28,30,33,25,67,106,58,36
2012,67,64,42,75,45,29,26,31,39,27,53,100,63,45
2013,65,59,43,78,45,25,20,29,38,26,41,96,69,52
2014,64,65,41,100,45,34,25,28,30,20,60,117,65,44
2015,73,73,45,63,45,31,18,20,33,19,61,58,53,38
2016,36,49,27,51,29,25,18,23,11,7,27,38,76,57
2017,66,62,50,106,53,37,31,30,37,23,45,112,68,52
