year,A1,A2,A3
,label A1,label A2,label A3
1987,24,2617,168
1988,22,2534,152
1989,2,2608,58
1990,14,2649,113
1991,30,2629,232
1992,9,2702,78
1993,14,2715,147
1994,26,2527,188
1995,9,2541,72
1996,23,2779,162
1997,12,2761,107
1998,14,2707,88
1999,9,2705,96
2000,13,2665,110
2001,23,2380,137
2002,23,2461,158
2003,20,2849,135
2004,27,2396,198
2005,25,2636,165
2006,11,2553,104
2007,26,2399,181
2008,18,2651,131
2009,9,2725,93
2010,15,2646,94
2011,38,2524,293
2012,23,2613,178
2013,25,2665,165
2014,21,2439,156
2015,12,2160,108
2016,11,2464,110
2016
2017,51,2268,332
2018,37,2315,253
2019,39,2308,264
2020,59,2198,351
2021,24,2592,193
2022,55,2138,331
2023,25,2480,223
2024,31,2246,239
2025,31,2234,166
2026,37,2196,302
2027,29,2140,244
2028,51,2325,300
2029,22,2267,214
2030,35,2282,267
2031,50,2200,309
2032,37,2298,242
2033,40,2429,250
2034,22,2234,188
2035,36,2503,240
2036,24,2364,212
2037,39,2347,243
2038,47,2017,327
2039,39,2187,258
2040,31,2347,219
2041,47,2241,307
2042,53,2518,335
2043,41,2342,251
2044,56,2121,362
2045,33,2137,222
2046,33,2490,237
