year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,62,-161,-280,339
1988,112,-20,-196,225
1989,-26,-205,-505,11
1990,-68,-185,-346,240
1991,54,-253,-264,80
1992,-2,-28,-123,207
1993,-96,-105,116,285
1994,-24,-215,-80,209
1995,-36,-232,-231,183
1996,153,-167,-214,271
1997,-16,-217,-221,78
1998,-41,42,-257,-12
1999,48,-143,-215,181
2000,-96,-131,-247,340
2001,137,-217,-273,36
2002,0,-162,-61,398
2003,-100,-326,-294,309
2004,4,-278,-269,371
2005,-138,-212,-293,147
2006,73,-322,-166,243
2007,-48,-190,-325,-32
2008,88,-43,-20,357
2009,61,-234,-377,168
2010,149,-60,-317,314
2011,108,-370,-274,172
2012,-174,-135,-279,228
2013,141,-91,-264,281
2014,353,-287,41,470
2015,54,-285,-226,99
2016,78,-113,-261,313
