year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,187,194,143,440
1988,243,291,242,337
1989,127,201,41,142
1990,76,166,160,340
1991,160,120,233,177
1992,134,333,291,321
1993,42,263,551,394
1994,133,155,369,318
1995,103,162,228,305
1996,284,224,198,399
1997,152,166,197,208
1998,115,410,206,109
1999,191,223,227,299
2000,69,253,182,446
2001,274,172,171,175
2002,151,234,342,512
2003,61,126,202,421
2004,152,122,172,482
2005,19,194,169,260
2006,202,99,274,361
2007,99,183,117,132
2008,237,314,385,466
2009,233,182,109,297
2010,279,305,145,438
2011,247,61,143,296
2012,30,236,175,331
2013,278,254,180,398
2014,484,127,405,584
2015,201,138,248,205
2016,207,247,182,414
